Iteration,Best_individual,Fitness
513,"0,4,0,3,1,4,3,0,1,5,4,4,5,3,3,2,5,6,3,4,4,6,3,0,1,6,0,4,6,5,5,0,1,5,2,2,3,4,0,6,3,2,3,3,4,0,1,3,2,6,0,0,3,0,5,1,2,3,4,6,1,5,6,5,3,2,4,4,5,5,4,6,3,5,2,0,6,0,0,4,5,3,3,0,0,1,5,2,1,6,3,1,3,1,3,2,4,1,3,1,3,6,0,3,2,1,1,1,0,5,2,0,1,2,2,1,2,6,0,2,3,6,2,3,1,2,0,3,3,3,3,2,3,3,2,0,0,0,3,2,4,5,6,4,3,0,2,6,0,2,3,0,2,3,0,3,3,0,2,6,0,6,6,2,4,2,5,0,6,5,2,3,3,0,5,5,5,6,5,1,5,5,3,2,5,5,0,5,2,0,5,5,0,5,2,2,5,2,5,5,5,5,5,5,5,1,5,0,5,5,6,5,0,1,5,1,6,5,4,4,0,0,1,0,6,5,5,5,5,5,5,5,5,1,3,5,5,5,5,5,3,5,1",451.2
514,"0,4,0,3,1,4,0,0,1,5,4,4,5,2,3,2,5,6,3,3,4,6,3,0,1,1,0,3,5,5,5,1,1,5,3,2,3,0,0,4,3,3,6,4,6,1,4,0,4,5,0,6,3,0,6,2,4,5,1,4,2,4,6,5,3,2,4,4,5,5,4,3,1,3,0,4,6,2,1,4,2,3,6,2,2,1,0,0,1,6,1,3,2,1,3,2,4,1,1,1,4,6,2,3,2,3,1,5,0,2,2,5,1,2,2,1,2,6,0,2,3,6,2,3,1,2,0,3,3,3,3,2,1,3,2,0,0,4,3,2,4,5,6,3,3,0,2,3,1,2,3,0,0,3,3,3,3,0,2,6,0,6,4,5,2,4,5,0,0,5,2,3,1,3,5,5,5,1,5,1,0,5,0,4,5,5,2,5,6,1,5,5,0,5,2,3,5,2,5,5,5,5,5,5,1,1,5,3,5,5,6,5,5,1,1,1,5,5,4,3,0,0,5,0,6,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,5,1",451.35
515,"4,4,0,3,2,1,0,3,3,6,1,0,4,5,3,2,2,6,3,4,4,0,3,0,1,2,0,4,0,5,3,0,6,5,4,6,0,0,0,4,3,1,3,3,4,6,2,3,1,5,0,6,3,2,6,2,0,6,4,6,1,5,2,5,5,2,4,4,5,1,4,3,3,3,0,4,1,1,6,4,5,3,2,1,5,1,0,0,1,6,3,1,2,1,3,2,4,1,3,1,3,6,0,3,2,1,1,0,0,2,2,0,1,3,2,1,2,6,0,2,3,6,2,3,1,2,0,3,3,3,3,2,6,3,2,0,0,0,3,2,1,5,6,3,3,0,2,3,0,2,3,0,2,3,3,3,3,0,2,6,0,6,1,2,4,6,5,0,6,5,2,3,3,0,5,5,5,6,5,1,5,5,3,2,5,5,0,5,2,0,5,5,0,5,2,2,5,2,5,5,5,5,5,5,5,1,5,0,5,5,6,5,5,2,5,1,6,5,6,1,0,0,5,0,6,5,5,5,5,5,5,5,5,1,3,5,5,5,5,5,1,5,1",450.6
516,"3,4,0,6,1,4,4,0,1,5,4,4,6,3,3,2,5,6,3,3,4,6,3,0,1,1,0,4,5,5,5,1,1,5,3,2,5,0,0,4,3,5,6,3,4,6,3,5,2,5,0,3,3,6,6,2,5,6,2,1,1,4,5,0,0,2,2,6,1,5,1,3,1,3,0,4,6,1,2,4,5,3,3,0,6,1,5,2,1,6,3,1,6,3,3,2,2,1,1,1,3,1,1,3,2,1,1,0,0,2,2,0,1,2,2,1,2,6,0,2,3,6,2,3,1,2,0,3,3,3,3,2,6,3,2,0,0,0,3,6,4,5,6,0,3,0,2,3,0,2,3,0,2,3,3,3,3,0,2,6,0,6,4,3,2,0,5,2,6,5,5,4,3,4,5,5,5,6,5,5,5,1,1,5,5,5,1,5,2,1,5,5,4,5,2,2,5,2,5,5,5,5,5,5,5,1,5,0,5,6,6,5,5,1,5,1,3,5,5,4,0,0,5,0,6,5,5,5,5,5,5,5,5,1,3,5,5,5,5,5,3,5,1",451.6
517,"4,4,0,3,2,4,4,3,3,6,3,0,4,5,3,2,2,6,3,4,4,5,3,0,1,2,5,4,0,0,5,0,6,1,3,2,3,0,4,4,3,5,5,1,6,6,3,5,2,5,0,3,3,6,6,2,5,6,5,1,1,6,5,0,0,2,2,6,6,5,1,3,1,3,0,4,6,1,2,5,5,3,3,0,0,1,5,2,1,6,3,1,6,3,3,2,2,1,1,1,3,1,1,3,2,1,1,0,0,2,2,0,1,2,2,1,2,6,0,2,3,6,2,3,1,2,0,3,3,3,3,2,6,3,2,0,0,0,3,6,4,5,6,0,3,0,2,3,0,2,3,0,2,3,3,3,3,0,2,6,0,6,6,2,4,2,5,4,6,5,2,3,3,6,5,5,5,6,5,1,0,5,3,2,5,5,0,5,2,0,5,5,4,5,2,1,5,2,5,5,5,5,5,5,5,1,5,5,5,5,6,5,5,1,5,1,6,5,4,6,0,2,2,0,6,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,3,5,1",451.7
518,"1,4,0,3,2,1,0,4,3,6,0,6,4,5,3,5,2,1,3,4,4,0,3,0,1,1,0,4,0,5,5,0,1,5,4,1,2,4,0,4,3,5,2,3,3,6,4,1,2,5,0,0,3,0,5,4,1,2,1,4,2,4,6,5,3,2,4,4,5,5,4,3,1,3,0,4,6,1,1,4,2,3,0,2,2,1,0,0,1,6,1,3,2,1,3,2,4,1,1,1,3,6,1,3,2,1,1,5,0,2,2,4,4,2,6,0,2,6,0,2,3,6,2,3,1,2,0,3,3,3,3,2,3,3,2,0,0,0,3,6,4,5,2,0,3,0,2,3,0,3,1,0,2,3,3,3,3,0,2,6,0,6,1,2,4,6,5,0,5,5,2,1,1,3,5,5,5,1,5,1,0,5,0,4,5,5,2,5,6,1,5,5,0,5,2,4,5,2,5,5,5,5,5,5,1,1,5,5,5,5,6,5,5,1,5,1,6,5,5,4,0,0,5,0,6,5,5,5,5,5,5,5,5,1,3,5,5,5,5,5,3,5,1",450.7
519,"3,4,1,3,1,4,0,0,1,5,4,4,5,3,3,2,5,6,3,3,4,5,3,0,1,2,0,4,0,0,5,0,1,5,4,2,2,0,0,4,3,5,2,2,3,6,4,5,2,5,0,0,3,0,5,4,1,6,4,6,4,5,2,5,3,2,4,4,5,1,4,3,3,3,0,0,6,2,0,4,0,3,5,2,5,1,0,6,1,6,3,5,2,1,3,2,4,1,1,1,3,6,2,3,2,3,1,5,0,2,2,4,1,2,2,1,2,6,0,2,3,6,2,3,1,1,0,3,3,3,3,2,6,3,2,0,0,0,3,6,4,5,6,0,3,0,2,3,0,2,1,0,2,3,3,2,3,0,2,6,0,6,1,2,4,6,5,0,5,5,2,3,1,3,5,5,5,1,5,1,0,5,0,6,5,5,2,5,6,1,5,5,2,5,2,4,5,2,5,5,5,5,5,5,1,1,5,5,5,5,6,5,5,2,1,1,0,5,4,3,0,0,1,0,6,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,6,5,1",451.5
520,"4,4,0,3,2,4,0,3,3,6,0,4,5,2,3,2,5,6,3,3,4,6,6,0,1,1,0,3,5,5,0,1,1,5,3,2,3,0,0,4,3,6,2,3,3,1,1,3,2,1,0,0,6,0,5,4,1,6,0,6,4,5,2,5,3,2,4,4,5,1,4,3,3,3,0,4,1,1,6,4,5,3,2,1,5,1,0,0,1,6,3,1,2,1,3,2,4,1,3,1,5,2,0,3,2,1,1,2,0,2,2,0,1,2,2,1,2,6,0,2,3,6,2,3,1,1,0,3,3,6,3,2,3,3,2,0,0,0,3,2,1,5,6,3,3,0,2,3,0,2,3,0,2,0,3,3,3,0,2,6,0,6,1,2,4,6,5,0,5,5,2,1,1,3,5,5,5,1,5,1,0,5,0,4,5,5,2,5,6,1,5,5,0,5,2,4,5,2,5,5,5,5,5,5,1,5,5,3,5,5,2,5,5,2,5,1,6,5,5,4,0,0,5,0,6,5,5,5,5,5,5,5,5,1,3,5,5,5,5,5,3,5,1",452.65
521,"0,4,0,5,1,4,0,0,1,5,4,4,5,2,3,2,5,6,3,3,4,6,6,0,1,1,0,3,5,5,0,1,1,5,3,2,3,0,0,4,3,3,6,4,5,1,4,0,4,5,0,2,3,0,6,2,6,6,2,4,1,4,5,0,0,2,2,6,1,5,4,4,1,3,0,4,6,1,2,4,5,6,3,0,0,1,5,2,1,6,3,1,6,3,3,2,2,1,1,1,3,1,1,3,2,1,1,0,0,2,2,6,1,2,2,1,2,6,0,2,3,6,2,3,1,2,0,3,3,3,3,2,6,3,2,0,0,0,3,6,2,5,6,0,3,0,2,3,0,2,3,0,2,3,3,3,3,0,2,6,0,6,6,2,4,2,5,4,6,5,2,3,3,6,5,5,5,6,5,1,0,5,3,2,5,5,0,5,2,0,5,5,4,5,2,1,5,2,5,5,5,5,5,5,5,1,5,3,5,5,6,5,5,1,5,1,6,5,4,6,0,0,2,0,6,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,6,5,1",452.65
522,"4,4,0,3,1,4,0,0,1,5,4,4,5,3,3,2,5,6,3,3,4,0,3,3,1,3,0,4,0,5,5,0,1,5,4,2,2,0,4,4,3,5,6,1,6,6,4,5,2,5,0,0,3,0,5,4,1,6,4,6,4,5,2,5,3,2,3,4,5,1,4,4,3,3,0,0,6,2,0,4,0,3,5,2,5,1,0,0,1,6,3,1,2,1,3,2,4,1,5,1,3,6,0,3,2,1,1,1,0,2,2,0,1,2,2,1,2,6,0,2,3,6,2,3,1,2,0,3,3,3,3,2,6,3,3,0,0,2,3,6,4,5,6,0,3,0,2,3,0,2,3,0,2,3,3,3,3,0,2,6,0,6,6,2,4,2,5,6,6,5,2,3,3,6,5,5,5,6,5,1,0,6,3,2,5,5,0,5,2,0,5,5,0,5,2,2,5,2,5,5,5,5,5,5,5,1,5,3,5,5,5,5,5,3,5,1,0,5,2,4,0,0,5,0,6,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,6,5,1",452.6
523,"4,4,0,5,1,4,0,0,1,5,4,4,5,5,3,2,2,6,3,4,4,5,3,0,1,2,0,4,0,0,5,0,6,1,6,2,3,0,4,4,3,5,3,3,4,1,5,6,2,0,0,6,3,0,6,4,4,4,4,4,1,4,5,4,0,1,2,4,5,5,4,3,1,3,0,2,6,1,6,4,5,3,3,1,5,1,0,0,1,6,3,1,6,3,3,2,2,1,1,1,3,1,1,3,2,1,1,5,0,2,2,4,1,2,2,1,2,6,0,2,3,6,2,3,1,1,0,3,3,3,3,2,6,3,2,0,0,0,3,6,4,5,6,0,3,0,2,3,0,2,3,0,2,3,3,2,3,0,2,6,0,6,5,2,4,6,5,0,5,5,2,3,1,3,5,5,5,1,5,1,0,5,0,6,5,5,2,5,6,1,5,5,2,5,2,4,5,2,5,5,5,5,5,5,1,1,5,5,5,5,6,5,5,2,1,1,0,5,4,3,0,0,5,0,6,5,5,5,5,5,5,5,5,1,3,5,5,5,5,5,1,5,1",453.65
524,"4,2,0,3,1,4,3,4,3,6,2,4,3,1,0,2,3,6,3,2,4,0,3,0,1,2,0,4,0,5,3,0,6,2,3,2,3,0,4,4,3,5,5,1,6,6,3,5,2,5,0,3,3,6,6,2,5,6,5,1,1,6,3,0,0,2,2,6,6,5,1,3,1,0,0,5,6,1,2,5,5,3,3,0,0,1,5,2,1,6,3,1,6,3,3,2,2,1,1,1,3,1,1,3,2,1,1,5,0,2,2,4,1,2,2,1,2,6,0,2,3,6,2,3,1,1,0,3,3,3,3,2,6,3,2,0,0,4,0,2,4,5,6,0,3,0,2,3,0,2,3,0,2,3,3,3,3,0,2,6,0,6,0,2,4,2,5,0,6,5,2,5,3,0,5,5,5,6,5,1,5,1,0,0,5,5,3,5,2,6,5,2,4,5,5,2,5,2,5,5,5,5,5,5,1,1,5,5,5,5,4,5,5,1,5,1,6,5,4,6,0,2,3,6,6,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,3,5,1",449.85
525,"4,4,0,3,4,4,0,2,3,5,2,4,4,5,1,2,4,6,3,4,4,0,3,0,1,2,0,4,0,5,3,0,6,5,4,6,0,0,0,4,2,1,3,3,0,6,2,6,2,5,6,6,3,5,5,4,1,6,4,6,4,5,2,5,3,2,4,5,6,1,4,3,3,3,5,4,5,1,3,1,3,3,5,2,0,1,0,6,1,6,3,3,2,1,3,2,4,1,1,1,3,6,2,3,2,1,1,0,0,2,2,0,1,2,2,1,2,6,0,2,3,6,2,3,1,1,0,3,3,6,3,2,3,3,2,0,0,0,3,2,1,5,1,3,3,0,2,3,0,2,3,0,2,3,3,3,3,0,2,6,0,6,1,2,4,6,5,0,5,5,6,4,3,4,5,5,5,6,5,5,2,1,1,4,5,5,4,5,2,0,5,5,0,5,2,2,5,2,5,5,5,5,5,5,5,1,5,6,5,5,5,5,5,3,5,1,0,5,3,4,0,0,5,0,6,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,6,5,5",448.9
526,"3,4,1,3,1,4,0,0,1,5,4,4,6,3,3,2,5,5,3,5,4,5,3,0,1,2,0,4,0,0,5,0,6,2,3,2,3,0,4,4,3,1,3,3,3,2,1,3,4,5,0,6,2,0,6,2,4,4,1,5,2,4,6,5,3,2,4,4,5,5,4,3,1,3,0,4,6,1,1,1,0,3,6,2,2,1,0,1,1,5,3,5,2,1,3,2,4,1,1,1,3,6,2,3,2,3,1,5,4,2,2,4,1,2,2,1,2,6,0,2,3,6,2,3,1,2,0,3,3,3,3,2,1,3,2,0,0,4,3,2,4,5,6,4,3,0,2,3,0,2,3,0,2,3,0,3,3,0,2,6,0,3,6,2,4,0,5,0,4,5,2,3,3,4,5,5,5,6,5,5,0,4,0,4,5,5,1,5,2,0,5,5,6,5,2,1,5,2,5,5,5,5,5,5,5,1,5,3,5,5,6,5,5,3,5,1,6,5,1,4,0,2,5,0,6,5,5,5,5,5,5,5,5,1,3,5,5,0,5,5,3,5,1",449.45
527,"3,4,1,3,1,4,0,0,1,5,4,4,6,3,3,2,5,5,3,5,4,6,3,5,1,2,0,4,6,5,5,0,1,3,3,0,1,0,0,4,3,5,2,2,3,1,1,3,2,5,0,6,3,0,5,4,1,0,4,6,4,0,5,5,3,5,4,5,5,1,4,3,3,3,5,4,5,1,3,1,3,3,5,2,2,1,0,6,1,6,3,3,2,1,3,2,4,1,1,1,3,3,2,3,2,1,1,0,0,2,2,0,1,2,2,1,2,6,0,2,3,6,2,3,1,1,0,3,3,3,3,2,6,3,2,0,0,0,3,6,4,5,6,0,3,0,2,3,0,2,3,0,2,3,3,3,3,0,2,6,0,6,1,2,4,6,5,0,5,5,2,3,1,3,5,5,5,1,5,1,0,3,0,6,5,5,2,5,1,0,5,5,4,5,2,2,5,2,5,5,5,5,5,5,5,1,5,0,5,5,6,5,5,1,5,1,6,5,4,6,0,2,3,6,4,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,3,5,1",452.4
528,"4,4,0,3,6,4,0,3,3,6,3,0,4,5,3,2,2,6,3,4,4,0,0,0,1,2,0,4,0,5,3,0,6,5,4,6,0,0,0,4,3,1,3,3,3,2,5,1,2,5,0,0,3,6,5,2,3,6,2,1,1,4,5,3,0,6,2,6,1,6,1,3,1,3,0,4,6,1,2,4,5,3,3,0,0,1,4,2,1,6,3,1,6,3,3,2,2,1,1,1,3,1,1,3,2,1,1,0,0,2,2,0,1,2,2,1,2,6,0,2,3,6,2,3,1,2,0,3,3,3,3,2,6,3,2,0,0,0,3,6,4,5,6,0,3,0,2,3,0,2,3,0,2,3,3,3,3,1,2,6,0,6,1,2,4,6,5,0,5,5,2,3,1,3,5,5,5,1,5,1,0,5,0,6,5,5,2,5,6,1,5,5,5,5,2,1,5,2,5,5,5,5,5,5,5,1,5,3,5,5,6,5,5,1,5,1,5,0,4,4,0,0,5,0,6,5,5,5,5,5,5,5,5,1,3,5,5,5,5,5,1,5,1",446.45
529,"4,4,0,3,1,4,3,6,3,6,0,4,1,1,0,2,3,6,3,4,4,0,3,4,1,0,0,4,0,4,3,0,6,5,4,6,2,0,0,4,3,1,3,3,3,2,3,5,2,5,0,3,3,0,6,2,5,6,2,1,1,1,5,0,0,2,2,3,1,5,1,4,1,3,0,4,6,1,0,2,2,3,5,1,5,1,0,1,1,6,3,6,6,1,3,2,4,1,3,1,5,6,2,3,2,1,1,5,0,2,2,4,1,2,2,1,2,6,0,2,3,6,2,3,1,1,0,3,2,3,3,2,6,3,2,0,0,0,3,4,1,5,6,1,3,0,2,3,0,2,3,0,2,3,3,3,3,0,2,3,0,6,1,2,4,4,5,0,6,5,2,3,3,6,5,5,5,6,5,1,0,5,0,4,5,5,1,5,2,0,5,5,6,5,2,4,6,2,5,5,5,5,5,5,1,1,1,5,5,5,6,5,5,2,1,1,0,5,4,3,0,0,5,0,6,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,5,1",448.35
530,"4,0,0,1,4,4,0,4,6,5,1,4,3,1,4,2,4,6,3,5,0,6,1,1,5,0,1,6,6,5,4,6,2,3,3,0,2,0,0,4,3,5,2,2,3,1,1,3,2,0,0,6,3,0,5,4,1,0,4,6,4,0,5,5,3,5,4,5,5,1,4,3,3,3,5,4,5,2,0,4,0,3,5,2,2,1,0,6,1,6,3,3,2,1,3,2,4,1,1,1,3,6,2,3,2,1,1,0,0,2,2,0,1,2,2,1,2,6,0,2,3,6,2,3,1,1,0,3,3,3,3,2,3,3,2,0,0,0,3,6,4,5,6,0,3,0,2,3,0,2,3,0,2,3,3,3,3,0,2,6,0,6,1,2,4,6,5,0,6,5,6,4,3,4,5,5,5,2,5,1,0,1,0,4,5,5,1,5,2,0,5,5,4,5,2,4,5,2,5,5,5,5,5,5,1,1,1,5,5,5,6,5,5,2,1,1,0,5,0,3,0,0,5,0,6,5,5,5,5,5,5,5,5,1,6,5,5,5,5,5,3,5,1",453.4
531,"0,4,0,3,1,4,0,4,1,6,0,3,0,1,0,2,3,6,3,4,4,0,3,0,1,0,0,4,0,4,3,0,6,5,3,2,3,0,0,4,3,3,6,5,6,6,2,3,2,5,0,0,3,6,5,4,1,3,4,6,4,5,2,5,3,2,4,4,5,1,4,3,1,3,0,4,6,1,0,3,5,3,3,0,6,1,5,5,1,6,3,1,6,1,3,2,1,1,1,1,3,6,2,3,2,3,1,5,6,2,2,6,1,2,2,1,2,6,0,2,3,6,2,3,1,2,6,3,2,3,3,2,6,3,2,0,0,0,3,6,1,5,6,1,3,0,2,3,0,2,3,0,2,3,3,3,3,0,2,6,0,6,1,2,4,6,5,0,5,5,2,3,6,3,2,5,5,1,5,1,0,1,0,6,5,5,2,5,6,1,5,2,2,5,2,4,5,2,5,5,5,5,5,5,1,1,1,5,5,1,6,5,5,2,1,1,0,3,4,3,0,0,5,0,6,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,5,1",451.25
532,"3,2,0,3,1,1,3,4,3,6,0,3,2,1,0,2,2,6,3,4,4,0,5,2,1,2,0,3,5,2,0,1,1,2,3,5,3,0,4,4,3,5,3,3,5,6,2,1,2,5,6,6,2,0,6,3,4,4,1,5,2,4,6,5,3,2,4,4,5,5,4,3,3,3,5,3,6,0,0,4,6,3,3,0,2,1,0,0,1,2,3,1,2,1,3,2,4,1,1,1,0,6,2,3,2,3,1,5,6,2,2,6,1,2,2,1,2,6,0,2,3,6,2,3,1,2,6,3,2,3,3,2,6,3,2,0,0,1,3,2,1,5,6,3,3,0,2,3,0,2,3,0,1,3,3,3,3,0,2,6,6,6,1,2,4,4,5,0,6,5,2,3,3,6,5,5,5,6,5,1,0,5,0,4,5,5,1,5,2,0,5,5,6,5,2,1,5,2,5,5,5,5,5,5,5,1,5,3,5,5,6,5,5,3,5,1,6,5,1,3,0,2,5,0,6,5,5,5,5,5,5,5,5,1,3,5,5,0,5,5,6,5,1",452.1
533,"0,4,0,3,2,4,3,0,3,6,3,0,4,5,3,2,6,6,3,6,4,5,3,0,1,2,5,4,0,0,6,0,2,2,3,2,3,0,4,4,3,5,5,1,1,6,3,5,0,5,0,3,3,6,6,1,5,6,5,1,1,6,5,0,0,2,2,6,6,5,2,3,1,0,0,5,6,1,2,5,5,3,5,0,0,1,5,2,1,2,3,1,6,3,3,2,2,1,1,1,3,1,1,3,2,1,1,5,0,2,2,5,1,2,2,1,2,6,0,2,3,6,2,3,1,1,0,3,3,3,3,2,3,3,2,0,0,0,3,6,4,5,6,4,3,0,2,3,0,2,3,0,2,3,3,3,3,0,2,6,0,6,1,2,4,6,5,0,6,5,6,4,3,4,5,5,5,2,5,1,0,1,6,4,5,5,1,5,2,0,5,5,6,5,2,4,5,2,5,5,5,5,5,5,1,1,5,5,5,5,6,5,5,3,5,1,3,5,3,4,0,0,1,0,6,5,5,5,5,5,5,5,5,1,6,5,5,5,5,5,3,5,1",452.05
534,"0,4,0,3,1,4,3,4,1,6,0,3,0,1,0,2,0,6,3,4,4,0,3,5,1,0,0,4,0,4,3,6,6,0,3,2,3,0,0,4,3,3,4,5,6,6,2,3,2,5,0,0,3,6,5,4,1,6,2,1,1,4,5,2,0,6,2,6,1,4,1,3,1,3,0,4,6,1,2,3,5,3,3,0,0,1,5,2,1,6,1,1,6,3,3,2,2,1,1,1,0,1,1,3,2,1,1,0,0,2,2,0,1,2,2,1,2,6,0,2,3,6,2,3,1,2,0,3,3,3,3,2,6,3,2,0,0,0,3,6,4,5,6,0,3,0,2,3,0,2,3,0,2,3,3,3,3,0,2,6,0,6,6,2,4,6,5,0,5,5,2,3,6,3,5,5,5,1,5,1,0,1,0,6,5,5,2,5,6,1,5,2,2,5,2,4,5,2,5,5,5,5,5,5,1,1,1,5,5,5,6,5,5,2,1,1,0,5,4,3,0,0,5,0,6,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,6,5,1",450.8
535,"3,4,1,3,1,4,0,0,1,5,4,4,6,3,3,2,2,6,3,4,4,5,3,0,1,2,0,4,6,0,5,0,4,1,6,2,3,0,3,3,6,5,5,1,6,6,3,1,2,5,0,3,3,6,5,4,1,6,0,6,4,5,2,5,3,2,4,4,5,4,4,3,3,3,0,4,6,2,0,4,0,3,5,2,2,1,0,5,1,6,3,1,0,3,3,2,2,1,1,1,3,1,1,3,2,1,1,0,0,2,2,0,1,2,2,1,2,6,0,2,3,6,2,6,1,2,0,3,4,3,3,2,3,3,3,0,0,2,3,6,4,5,6,0,3,0,2,3,0,2,3,0,2,3,3,3,3,0,2,6,0,6,1,2,4,2,5,0,6,5,2,3,3,0,5,5,5,6,5,1,0,5,0,6,5,5,2,5,6,1,5,5,5,5,2,1,5,2,5,5,5,5,5,5,5,1,5,3,5,5,6,5,5,1,5,1,5,0,5,4,0,0,5,5,6,5,5,5,5,5,5,5,1,1,3,5,5,5,5,5,6,5,1",448.35
536,"4,4,0,3,4,4,6,6,2,5,4,4,5,2,3,2,2,3,3,4,3,0,6,0,1,2,0,0,0,5,5,0,6,5,4,2,5,0,5,1,3,4,4,4,1,1,5,1,2,5,0,5,0,0,6,4,4,4,5,4,4,6,5,5,0,3,2,4,1,5,4,3,1,3,0,5,6,1,2,5,5,3,3,0,6,1,5,5,1,6,3,1,6,3,3,2,2,1,1,1,3,1,1,3,2,1,1,5,0,2,2,4,1,1,2,1,2,6,0,2,3,6,2,6,1,2,0,3,3,3,3,2,6,0,2,0,0,0,3,2,1,3,6,3,3,1,2,3,0,2,1,0,2,3,3,3,3,0,2,6,0,3,1,1,4,6,5,0,0,5,5,5,1,3,5,5,5,1,5,1,0,5,4,3,5,5,2,5,6,1,5,2,6,5,2,1,5,2,5,5,5,5,5,5,5,1,5,3,5,5,6,5,5,1,5,1,6,5,4,6,0,2,2,0,6,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,3,5,1",448.7
537,"4,2,0,3,6,4,0,4,6,5,1,4,3,1,4,2,4,6,3,5,0,0,1,4,5,0,1,6,6,5,4,6,2,3,3,0,2,0,4,3,6,5,5,1,6,6,3,1,2,5,0,3,3,6,5,4,1,6,0,6,4,5,2,5,3,2,4,4,5,4,4,4,3,3,0,4,6,2,0,3,0,3,5,2,5,1,0,2,1,6,3,1,0,3,3,2,2,1,1,1,3,1,1,3,2,1,1,0,0,2,2,0,1,2,2,1,2,6,0,2,3,6,2,3,1,2,0,3,3,3,3,2,3,3,2,0,0,0,3,2,1,5,6,1,3,0,2,3,0,2,3,0,2,3,3,3,3,0,2,6,0,6,1,2,2,0,5,2,0,5,2,3,3,6,5,1,5,6,5,3,2,1,1,4,5,5,4,5,2,0,5,5,0,5,2,1,5,2,5,5,5,5,5,5,5,1,5,3,5,5,6,5,5,1,1,1,1,0,0,4,0,0,1,0,6,5,5,5,5,5,5,5,5,1,3,5,5,5,5,5,3,5,1",448.35
538,"4,2,0,3,1,4,0,3,3,6,3,3,3,5,3,2,3,6,3,4,3,1,6,0,5,2,0,4,0,5,5,4,6,5,4,2,0,0,5,4,3,4,4,4,4,1,5,1,2,5,0,0,3,6,6,2,3,6,0,6,4,5,2,5,3,2,4,4,5,4,4,3,3,3,0,4,6,2,0,4,0,3,5,2,2,1,0,2,1,6,3,1,0,3,3,2,2,1,1,1,3,1,1,3,2,1,1,0,0,2,2,0,1,2,2,1,2,6,0,2,3,6,2,3,1,2,0,3,3,3,3,2,3,3,2,0,0,0,3,2,1,5,6,3,3,0,2,0,0,2,3,0,2,3,3,3,3,0,2,6,0,6,4,3,4,4,5,0,1,5,5,5,1,3,5,5,5,1,5,1,0,5,0,3,5,5,2,5,6,1,5,2,2,5,2,1,5,2,5,5,5,5,5,5,5,1,5,3,5,5,6,5,5,1,5,1,6,5,4,6,0,2,2,0,6,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,3,5,1",453.8
539,"4,4,0,3,2,4,4,3,3,4,3,3,3,5,3,2,2,6,3,6,1,5,3,0,1,2,5,4,0,0,5,0,2,2,3,2,3,0,4,4,3,5,5,1,1,6,3,5,2,5,0,4,3,0,6,4,4,4,5,4,1,6,5,5,0,3,2,4,1,5,4,3,1,3,0,5,6,1,2,5,5,3,1,0,0,1,5,2,1,6,3,1,0,3,3,2,2,1,1,1,3,1,1,3,2,1,1,0,0,2,2,0,1,2,2,1,2,6,0,2,3,3,2,3,1,2,0,3,3,3,3,2,6,0,2,0,0,0,3,6,4,5,6,0,3,0,2,3,0,2,3,0,2,3,3,3,3,0,2,6,0,6,4,3,4,4,5,0,1,5,5,5,1,3,5,5,5,1,5,1,0,1,0,3,5,5,2,5,6,1,5,2,2,5,2,1,5,2,5,5,5,5,5,5,5,1,5,3,5,5,6,5,5,1,5,1,6,5,4,6,0,2,2,0,6,5,5,5,5,5,5,5,5,1,0,5,5,5,4,5,3,5,1",451.95
540,"0,4,0,3,2,2,4,3,3,6,3,0,4,5,3,2,2,6,3,6,1,5,3,0,1,2,5,4,0,0,5,0,2,2,3,2,3,0,4,4,3,5,5,1,1,6,3,5,2,5,0,4,3,0,6,4,1,0,4,2,4,0,5,2,0,1,2,4,1,6,2,4,3,3,4,3,6,1,2,5,5,3,3,0,0,1,5,2,1,6,3,1,6,3,3,2,2,1,1,1,3,1,1,3,2,4,1,5,0,2,2,4,1,2,1,1,2,6,0,2,3,6,2,3,1,2,6,3,2,3,3,2,6,3,2,0,0,0,3,2,1,5,6,3,3,0,2,3,0,2,3,0,2,3,3,3,3,0,2,6,0,3,1,2,4,6,5,0,5,5,3,4,3,4,5,5,5,6,5,5,2,1,1,4,5,5,4,5,2,0,5,5,0,5,2,1,5,2,5,5,5,5,5,5,5,1,5,3,5,5,6,5,5,1,5,1,6,5,4,6,0,2,2,0,6,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,3,5,1",449.3
